text,category,priority
"No rush, but my invoice shows an incorrect amount, please fix it",Billing,Low
"No rush, but please help me change my registered email address",Account,Low
"This is blocking my entire team, my profile information keeps reverting to old data",Account,High
Just a small note: just wanted to say the new update looks great,General,Low
Critical issue: payment failed but money was deducted from my account,Billing,High
Low priority - i want to delete my account permanently,Account,Low
Critical issue: my profile information keeps reverting to old data,Account,High
"Whenever you have time, just wanted to say the new update looks great",General,Low
"This is blocking my entire team, can the product support multiple languages",Product,High
"Whenever you have time, the dashboard is not loading any data",Technical,Low
Low priority - my account got suspended without explanation,Account,Low
The dashboard is not loading any data,Technical,Medium
Fairly important: the billing cycle date changed without notice,Billing,Medium
Can you point me to the onboarding guide,General,Medium
Fairly important: i am getting a 500 error when logging in,Technical,Medium
Fairly important: i would like to request a dark mode feature,Product,Medium
Emergency: what is the difference between the pro and team plans,Product,High
"This needs attention, i am getting a 500 error when logging in",Technical,High
"No rush, but do you have an affiliate program",General,Low
"This needs attention, thank you for the quick help last time",General,Medium
"This is blocking my entire team, i want to delete my account permanently",Account,High
"Please help soon, getting error code e1023 on export",Technical,High
Critical issue: suggestion: add keyboard shortcuts for navigation,Product,High
I cannot log into my account anymore,Account,Medium
Low priority - what are your customer support working hours,General,Low
Just a small note: can you point me to the onboarding guide,General,Low
"Please help soon, i cannot log into my account anymore",Account,Medium
What are your customer support working hours,General,Medium
What is the difference between the pro and team plans,Product,Medium
What is the difference between the pro and team plans,Product,Medium
Suggestion: add keyboard shortcuts for navigation,Product,Medium
"We are losing money because of this, does this plan support exporting to excel",Product,High
Just wanted to say the new update looks great,General,Medium
"This is urgent, what are your customer support working hours",General,High
Just a small note: how do i integrate this with slack,Product,Low
"Please help soon, i need a copy of my last 3 invoices",Billing,Medium
Critical issue: does this plan support exporting to excel,Product,High
Low priority - i want a refund for the last payment,Billing,Low
ASAP - i need a copy of my last 3 invoices,Billing,High
Critical issue: what are your customer support working hours,General,High
I want to delete my account permanently,Account,Medium
I was charged twice for my subscription this month,Billing,High
The mobile app freezes on the home screen,Technical,Medium
Emergency: api returns null instead of the expected response,Technical,High
ASAP - i want to delete my account permanently,Account,High
How do I integrate this with Slack,Product,Medium
Low priority - api returns null instead of the expected response,Technical,Low
"No rush, but the dashboard is not loading any data",Technical,High
Fairly important: i need a copy of my last 3 invoices,Billing,Medium
"This is urgent, is there a way to bulk import contacts",Product,High
"Whenever you have time, i am getting a 500 error when logging in",Technical,High
"Whenever you have time, server keeps timing out during checkout",Technical,High
API returns null instead of the expected response,Technical,High
"This needs attention, does this plan support exporting to excel",Product,Medium
Fairly important: the mobile app freezes on the home screen,Technical,Medium
"We are losing money because of this, server keeps timing out during checkout",Technical,High
Emergency: thank you for the quick help last time,General,High
Fairly important: just wanted to say the new update looks great,General,Medium
"No rush, but the dashboard is not loading any data",Technical,Low
Low priority - the website is down for everyone in my team,Technical,Low
Just wanted to say the new update looks great,General,Medium
"This is blocking my entire team, suggestion: add keyboard shortcuts for navigation",Product,High
Fairly important: what is the difference between the pro and team plans,Product,Medium
"Whenever you have time, i need to transfer ownership of my account",Account,Low
Can the product support multiple languages,Product,Medium
"This needs attention, what is the difference between the pro and team plans",Product,Medium
ASAP - i would like to give feedback about my experience,General,High
"We are losing money because of this, please help me change my registered email address",Account,High
Low priority - where can i find your terms of service,General,Low
Low priority - where can i find your terms of service,General,Low
"Whenever you have time, i was charged twice for my subscription this month",Billing,High
Can the product support multiple languages,Product,Medium
Fairly important: what is the difference between the pro and team plans,Product,Medium
Fairly important: my profile information keeps reverting to old data,Account,Medium
Critical issue: i would like to request a dark mode feature,Product,High
Fairly important: my account got suspended without explanation,Account,Medium
"This needs attention, i want to delete my account permanently",Account,Medium
"Whenever you have time, where can i find your terms of service",General,Low
"No rush, but the billing cycle date changed without notice",Billing,High
Fairly important: the dashboard is not loading any data,Technical,Medium
Two-factor authentication is not sending codes,Account,Medium
"No rush, but i was charged twice for my subscription this month",Billing,Low
Just a small note: i need a copy of my last 3 invoices,Billing,Low
Fairly important: suggestion: add keyboard shortcuts for navigation,Product,Medium
Do you have an affiliate program,General,Medium
"This needs attention, can you point me to the onboarding guide",General,Medium
I would like to request a dark mode feature,Product,Medium
I would like to request a dark mode feature,Product,Medium
Do you have an affiliate program,General,Medium
I was charged twice for my subscription this month,Billing,High
"Whenever you have time, can you explain the extra charge on my card",Billing,Low
Low priority - i need a feature to schedule recurring reports,Product,Low
Critical issue: two-factor authentication is not sending codes,Account,High
Do you have an affiliate program,General,Medium
"No rush, but my invoice shows an incorrect amount, please fix it",Billing,High
Critical issue: the mobile app freezes on the home screen,Technical,High
Low priority - what are your customer support working hours,General,Low
Does this plan support exporting to Excel,Product,Medium
Fairly important: i was charged twice for my subscription this month,Billing,Medium
Fairly important: do you have an affiliate program,General,Medium
"Whenever you have time, i would like to request a dark mode feature",Product,Low
"Whenever you have time, is there a way to bulk import contacts",Product,Low
Critical issue: thank you for the quick help last time,General,High
Just a small note: my coupon code did not apply at checkout,Billing,High
Fairly important: the billing cycle date changed without notice,Billing,High
Low priority - do you have an affiliate program,General,Low
"We are losing money because of this, suggestion: add keyboard shortcuts for navigation",Product,High
"No rush, but the dashboard is not loading any data",Technical,Low
Just a small note: can you explain the extra charge on my card,Billing,High
"We are losing money because of this, my account got suspended without explanation",Account,High
"This needs attention, the website is down for everyone in my team",Technical,Medium
"Low priority - my invoice shows an incorrect amount, please fix it",Billing,High
"This is urgent, i want to delete my account permanently",Account,High
Critical issue: my profile information keeps reverting to old data,Account,High
